epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1256.94,1.23216,2.22978,1.28999,0.52073,0.37165,0.3812,0.25368,1.28618,1.62497,1.32823,0.00333303,0.00333303,0.00333303
2,2470.28,1.3113,2.08983,1.35077,0.51685,0.36147,0.36468,0.24147,1.3034,1.66392,1.35184,0.00633638,0.00633638,0.00633638
3,3654.82,1.38534,2.2852,1.41106,0.4786,0.33379,0.3343,0.21887,1.32836,1.74112,1.38977,0.00900972,0.00900972,0.00900972
4,4837.39,1.39387,2.29802,1.42494,0.48543,0.34735,0.35099,0.23163,1.3098,1.68473,1.37586,0.008515,0.008515,0.008515
5,6026.18,1.35048,2.16214,1.39473,0.51311,0.36078,0.37005,0.24654,1.28139,1.62381,1.3541,0.00802,0.00802,0.00802
6,7213.59,1.32278,2.0781,1.37402,0.53016,0.37112,0.38484,0.25845,1.26391,1.58283,1.33889,0.007525,0.007525,0.007525
7,8417.94,1.30376,2.014,1.35772,0.53867,0.37963,0.39586,0.26697,1.25405,1.55232,1.32886,0.00703,0.00703,0.00703
8,9621.37,1.28181,1.96496,1.34648,0.53127,0.38567,0.40356,0.27293,1.24596,1.53165,1.32232,0.006535,0.006535,0.006535
9,10799.7,1.27344,1.92671,1.33744,0.53763,0.39038,0.40927,0.27745,1.23926,1.51664,1.31653,0.00604,0.00604,0.00604
10,11980.2,1.26026,1.88954,1.32825,0.53837,0.39627,0.41366,0.28106,1.2339,1.50497,1.3124,0.005545,0.005545,0.005545
11,13134.5,1.31334,1.81408,1.38937,0.54635,0.3998,0.41836,0.28505,1.22809,1.49366,1.30714,0.00505,0.00505,0.00505
12,14274,1.29873,1.77192,1.37926,0.55138,0.40334,0.42277,0.28873,1.22326,1.48322,1.30307,0.004555,0.004555,0.004555
13,15399.4,1.28329,1.72854,1.36669,0.55276,0.40765,0.42663,0.29214,1.21923,1.47339,1.2993,0.00406,0.00406,0.00406
14,16522.2,1.26819,1.69409,1.35475,0.55764,0.40894,0.43068,0.29535,1.2153,1.46364,1.2957,0.003565,0.003565,0.003565
15,17646.8,1.25275,1.65491,1.34206,0.55536,0.4129,0.43453,0.29854,1.21145,1.45418,1.29222,0.00307,0.00307,0.00307
16,18768.2,1.23823,1.62104,1.33254,0.55685,0.416,0.43825,0.30149,1.20772,1.44515,1.28878,0.002575,0.002575,0.002575
17,19886.4,1.22491,1.58227,1.3198,0.56008,0.41749,0.44174,0.3043,1.20414,1.43655,1.28532,0.00208,0.00208,0.00208
18,21006.8,1.21001,1.54526,1.30957,0.56229,0.42048,0.44537,0.30724,1.20117,1.42861,1.28235,0.001585,0.001585,0.001585
19,22138.5,1.19573,1.51139,1.30032,0.56474,0.42482,0.44878,0.30994,1.19849,1.42117,1.2793,0.00109,0.00109,0.00109
20,23284.1,1.1812,1.4748,1.28704,0.56877,0.42612,0.45219,0.31264,1.19584,1.4144,1.27624,0.000595,0.000595,0.000595
